report_id,carrera,cohorte,poblacion,muestra,indicadores_poblacion,muestra_eq_14,muestra_gt_poblacion,poblacion_eq_muestra_mul2,error
35,MAESTRÍA ACADÉMICA CON TRAYECTORIA PROFESIONAL: REPRODUCCIÓN ANIMAL - presencial,2025,14,14,28,True,False,False,
36,MAESTRÍA ACADÉMICA CON TRAYECTORIA DE INVESTIGACIÓN: SANIDAD ANIMAL - presencial,2025,15,15,28,False,False,False,
37,MAESTRÍA  ACADÉMICA  EN MEDICINA VETERINARIA - presencial,2025,14,14,28,True,False,False,
38,MAESTRÍA EN PRODUCCIÓN ANIMAL - hibrida,2025,20,20,28,False,False,False,
39,MAESTRÍA  ACADÉMICA  EN PEDAGOGÍA DEL INGLÉS COMO LENGUA EXTRANJERA - en linea,2025,20,20,28,False,False,False,
40,MAESTRÍA EN EDUCACIÓN ESPECIAL - en linea,2025,25,25,28,False,False,False,
41,MAESTRÍA  ACADÉMICA CON TRAYECTORIA PROFESIONAL: EDUCACIÓN BÁSICA - presencial,2025,11,11,28,False,False,False,
42,MAESTRÍA ACADÉMICA CON TRAYECTORIA PROFESIONAL: EDUCACIÓN INICIAL - en linea,2025,10,10,28,False,False,False,
43,MAESTRÍA EN EDUCACIÓN (ENSEÑANZA DE LA  LENGUA Y LITERATURA) - hibrida,2025,20,20,28,False,False,False,
44,MAESTRÍA EN EDUCACIÓN (DOCENCIA E INVESTIGACIÓN EN EDUCACIÓN SUPERIOR) - semipresencial,2025,31,31,28,False,False,False,
45,MAESTRÍA ACADÉMICA EN GESTIÓN EDUCATIVA - en linea,2025,18,18,28,False,False,False,
46,MAESTRÍA ACADÉMICA EN EDUCACION (DOCENCIA SUPERIOR) - en linea,2025,53,53,28,False,False,False,
